cluster,bridge_age,condition_score,maintenance_priority,future_burden_ratio,aging_rate,fiscal_index,structure_category,bridge_area,emergency_route,overpass,repair_year_normalized,under_river,distance_to_coast_km
-1,49.502875399361024,1.9533546325878595,100.22172523961662,45.88707038812184,35.79576073483856,0.5877387605370847,1.8172523961661342,363.4651621086262,0.5284345047923322,0.0012779552715654952,0.17974634524155292,0.5322683706070288,9.597572905278204
0,44.08139534883721,2.197674418604651,100.79069767441861,40.4809104071207,35.48331733413607,0.5761068105724697,2.104651162790698,1105.2037558139534,0.6744186046511628,1.0,0.284707540521494,0.12790697674418605,4.673529299572601
1,42.41025641025641,1.6666666666666667,72.92307692307692,118.1,29.702234760859454,0.4,1.358974358974359,128.80461538461537,0.8974358974358975,0.0,0.045066045066045064,0.3333333333333333,1.0110359707313354
2,53.67857142857143,2.2857142857142856,122.60714285714286,8.4,44.44795351187468,0.32,1.4285714285714286,118.87946428571429,0.4642857142857143,0.0,0.9134199134199135,0.7857142857142857,3.4116726621243387
3,53.357142857142854,1.6428571428571428,92.0,8.4,44.44795351187468,0.32,1.2142857142857142,90.10149642857144,1.0,0.0,0.0,0.0,2.6666348775810937
4,52.029411764705884,1.6176470588235294,83.23529411764706,8.4,44.44795351187468,0.32,1.1470588235294117,34.6558,0.0,0.0,0.0,0.0,1.6017117031083707
5,45.390243902439025,1.7317073170731707,81.8780487804878,8.4,44.44795351187468,0.32,1.4878048780487805,142.35182926829268,1.0,0.0,0.0,1.0,3.8708750793756987
6,45.21153846153846,1.7115384615384615,79.25,8.4,44.44795351187468,0.32,1.4807692307692308,168.88509615384615,0.0,0.0,0.0,1.0,4.0639388448220055
7,59.60294117647059,1.911764705882353,113.6470588235294,41.23075854678625,35.257073458667726,0.5924664995110177,1.161764705882353,107.4595294117647,0.0,0.0,0.8992869875222818,1.0,10.020325798558714
8,47.416666666666664,1.8083333333333333,84.43333333333334,49.39520722792123,35.17815272073771,0.5925854852022167,1.9416666666666667,314.6197,1.0,0.0,0.8767676767676769,1.0,8.70194376853927
9,55.52777777777778,2.111111111111111,117.33333333333333,43.654397083677246,33.027322944671205,0.5859773808120112,1.2222222222222223,86.69480555555555,0.0,0.0,0.9250841750841752,0.0,2.515027840818548
10,51.72,2.0,104.12,45.67399858507251,33.627741905537604,0.5573760877255041,1.36,182.46849999999998,1.0,0.0,0.896969696969697,0.0,2.396471872029123
11,56.73170731707317,3.0,170.1951219512195,47.552030507217,34.569597447552226,0.5678521573330343,1.0,37.29614634146341,0.0,0.0,0.0,0.0,7.666006873457584
12,51.26285714285714,1.0057142857142858,51.37714285714286,52.00471332558492,34.63307137326775,0.5815409166708778,1.2228571428571429,43.207921142857145,0.0,0.0,0.0,0.0,10.117797933623986
13,61.26829268292683,2.0,122.53658536585365,44.4,44.33366417035099,0.39,1.048780487804878,31.08231707317073,0.0,0.0,0.0,0.0,15.283887402842138
14,53.708333333333336,3.0,161.125,50.59027679518925,32.558464748469355,0.5756778386982667,1.2916666666666667,87.87458333333335,1.0,0.0,0.0,0.0,4.415985128463349
15,59.54761904761905,3.0,178.64285714285714,49.4150773999023,36.24834843414337,0.5686175821584383,1.130952380952381,84.80378571428571,0.0,0.0,0.0,1.0,12.197797187086602
16,58.9,3.0,176.7,47.66541563494871,34.9412220227408,0.5580242306331801,1.2,162.9985,1.0,0.0,0.0,1.0,10.420135784844408
17,54.57692307692308,2.0,109.15384615384616,22.6,31.404598698003834,0.7799999999999999,1.0769230769230769,48.57361538461539,1.0,0.0,0.0,0.0,3.728109831925299
18,36.19230769230769,1.1153846153846154,38.07692307692308,44.39999999999999,44.333664170350986,0.39,1.5769230769230769,241.9353846153846,1.0,0.0,0.0,0.0,15.78640769583129
19,48.55555555555556,2.0,97.11111111111111,52.957637660653226,31.46616770052501,0.6012986872617223,2.0,74.03174444444444,0.0,0.0,0.0,0.0,3.472917677881371
20,52.666666666666664,2.0,105.33333333333333,66.3,33.374123848693735,0.76,1.0,40.99805,0.0,0.0,0.0,0.0,7.330579625050727
21,36.648648648648646,1.0,36.648648648648646,44.4,44.33366417035099,0.39,1.8108108108108107,220.7954054054054,1.0,0.0,0.0,1.0,14.699985267060033
22,42.84,1.0,42.84,44.4,44.33366417035099,0.39,1.48,103.4904,0.0,0.0,0.0,1.0,14.390904335000787
23,50.6,2.0,101.2,44.4,44.33366417035099,0.39,1.0,88.81093333333334,1.0,0.0,0.0,0.0,16.485051027080672
24,38.04,2.0,76.08,44.4,44.33366417035099,0.39,2.0,150.2636,0.0,0.0,0.0,1.0,14.353791506476217
25,59.69767441860465,2.0,119.3953488372093,44.4,44.33366417035099,0.39,1.0,50.148604651162785,0.0,0.0,0.0,1.0,14.192540735000902
26,51.101694915254235,1.0,51.101694915254235,46.27824728855528,33.547041668087644,0.5630571426858442,1.0,64.52118644067797,1.0,0.0,0.0,1.0,6.217664979789192
27,33.59047619047619,1.0,33.59047619047619,50.742935637643804,34.111641591822625,0.5813265618946554,2.0,241.509,1.0,0.0,0.0,1.0,10.630870315277988
28,43.125,1.0,43.125,49.11735939158118,32.21890962199205,0.5754570510553001,2.0,130.259,1.0,0.0,0.0,0.0,3.347844322132088
29,50.52542372881356,1.0,50.52542372881356,51.62231508516545,32.34376819007519,0.5855995155672001,1.0,75.85335593220339,1.0,0.0,0.0,0.0,6.827915346521862
30,28.75,1.0,28.75,44.35225577762056,36.07513328235037,0.548122641787525,2.0,198.09535416666665,0.0,0.0,0.0,1.0,7.8793376336968075
31,35.46808510638298,1.0,35.46808510638298,62.2,30.058113023467904,0.63,2.0,175.03289361702127,0.0,0.0,0.0,1.0,16.177854966569583
32,56.1171875,2.0,112.234375,45.234242903254334,34.512980311570054,0.5583144399982314,1.0,36.7276171875,0.0,0.0,0.0,0.0,5.704301697443799
33,53.55813953488372,2.0,107.11627906976744,62.199999999999996,30.058113023467904,0.63,1.0,86.57216279069767,0.0,0.0,0.0,0.0,9.354632149234401
34,54.8,2.0,109.6,48.99777620563613,35.52618222086623,0.5758993567320416,1.0,64.6199037037037,1.0,0.0,0.0,1.0,9.912427338556638
35,50.357142857142854,2.0,100.71428571428571,48.95267699226844,32.48693822195012,0.5727411693365001,2.0,116.6655,1.0,0.0,0.0,0.0,2.9824252601662797
