cluster,bridge_age,condition_score,maintenance_priority,future_burden_ratio,aging_rate,fiscal_index,structure_category,bridge_area,emergency_route,overpass,repair_year_normalized,under_river,distance_to_coast_km
-1,49.4964705882353,2.063529411764706,105.54352941176471,42.37323456584615,35.62592187519466,0.5666288686822447,2.3058823529411763,917.8541576470589,0.5317647058823529,0.18823529411764706,0.4168270944741533,0.36470588235294116,7.215958211718017
0,48.49305555555556,1.8263888888888888,87.55555555555556,49.29820481075345,35.274987267460524,0.5904946350666196,1.9097222222222223,305.5739513888889,1.0,0.0,0.8792087542087542,1.0,9.9666175530595
1,48.066985645933016,1.7814992025518341,87.45295055821371,48.805674096164296,34.62503987930567,0.5805174245386112,1.3668261562998405,178.8408038277512,1.0,0.0,0.0005799623024503408,0.0,7.7982359773894965
2,55.45348837209303,2.104651162790698,117.68604651162791,47.2279057427958,33.534297684176394,0.5685837974350326,1.4534883720930232,239.98761627906973,1.0,0.0,0.9006342494714588,0.0,3.2487279006682828
3,45.21806451612903,1.7419354838709677,81.4258064516129,49.526364480755845,35.86845685957171,0.581908111870557,1.649032258064516,208.61329935483872,1.0,0.0,0.0,1.0,10.873366886245234
4,58.042857142857144,2.0285714285714285,118.01428571428572,45.923926929102024,36.11211571294407,0.5602222446813887,1.3,128.36004285714284,0.0,0.0,0.9008658008658009,1.0,8.977093273059571
5,54.292719167904906,1.8083209509658247,99.80832095096582,50.402314447134955,35.07344566947382,0.5843296097754039,1.24962852897474,62.252792273402676,0.0,0.0,0.0,0.0,8.582157818430987
6,56.048780487804876,2.4634146341463414,139.1219512195122,45.271543565099606,33.13942764409417,0.5844521038418732,1.4390243902439024,158.46958536585365,0.0,0.0,0.9297856614929787,0.0,3.4245221384795417
7,50.8613406795225,1.7998163452708906,94.23232323232324,50.39518554357284,36.00678834362026,0.5824281565372347,1.4453627180899908,111.65023351698807,0.0,0.0,0.0,1.0,12.002980144946031
8,58.25,1.0,58.25,45.061456490979836,34.28497755200646,0.5586146975592501,1.0,53.99125,0.0,0.0,0.9204545454545455,0.0,1.4848445114640845
9,84.26666666666667,3.0,252.8,46.56999882089376,35.10192400723738,0.5649800731045868,1.0,202.85966666666667,1.0,0.0,0.9434343434343435,1.0,12.127984392571047
10,38.94117647058823,1.411764705882353,58.588235294117645,19.4,29.702234760859454,0.45,1.8823529411764706,106.02294117647058,0.0,0.0,0.0,1.0,3.998358951435487
11,47.583333333333336,1.6666666666666667,79.5,19.4,29.702234760859454,0.45,1.75,54.09583333333333,0.0,0.0,0.0,0.0,3.5669626074768366
12,41.22222222222222,1.4444444444444444,59.333333333333336,118.09999999999998,29.702234760859458,0.4,1.3333333333333333,208.93111111111108,1.0,0.0,0.0,1.0,1.092962869225445
13,40.095238095238095,1.5714285714285714,65.14285714285714,118.1,29.702234760859454,0.4,1.0952380952380953,57.55714285714286,1.0,0.0,0.0,0.0,0.4791423458476989
14,54.2,3.0,162.6,20.259999999999998,30.0628898993696,0.8219999999999998,1.0,45.327999999999996,0.0,0.0,0.0,0.0,0.6420543354210742
15,60.2,3.0,180.6,63.02,30.721315188513067,0.656,2.2,175.252,0.0,0.0,1.0,1.0,15.923853650860883
16,58.333333333333336,1.0,58.333333333333336,26.5,33.640780029060885,0.71,1.2222222222222223,79.05777777777777,0.0,0.0,0.8855218855218855,1.0,11.445079254441545
17,73.5,3.0,220.5,25.525,33.08173469629662,0.7274999999999999,1.125,134.91375,0.0,0.0,0.9734848484848485,1.0,10.567121661611836
18,67.6,2.0,135.2,26.5,33.640780029060885,0.71,1.2,93.904,0.0,0.0,0.8484848484848484,1.0,12.657071895951445
19,43.625,2.0,87.25,48.464582596391935,35.30059183416928,0.5739458790237001,1.875,287.1125,1.0,1.0,0.0,0.0,2.300453839750752
20,18.333333333333332,2.0,36.666666666666664,26.5,33.640780029060885,0.71,2.888888888888889,591.1333333333333,0.0,0.0,0.0,0.0,1.778984937597813
21,50.81818181818182,3.0,152.45454545454547,44.865150979194134,44.38021179214011,0.4219606392899637,1.3636363636363635,170.3272727272727,1.0,0.0,0.9696969696969698,1.0,14.825725191113799
22,41.0,1.0,41.0,44.4,44.33366417035099,0.39,1.8,240.33200000000002,1.0,0.0,0.8606060606060606,1.0,14.248425490831977
23,48.333333333333336,2.0,96.66666666666667,44.4,44.33366417035099,0.38999999999999996,1.3333333333333333,112.46416666666666,1.0,0.0,0.8636363636363636,0.0,16.8852474823357
24,42.58139534883721,1.6046511627906976,71.53488372093024,8.4,44.44795351187468,0.32,1.5813953488372092,145.89627906976744,1.0,0.0,0.0,1.0,4.095617344773349
25,60.64705882352941,2.0588235294117645,124.29411764705883,8.4,44.44795351187468,0.32,1.1176470588235294,34.25588235294118,1.0,0.0,0.0,0.0,1.6929021508501292
26,52.470588235294116,1.8235294117647058,93.23529411764706,8.4,44.44795351187468,0.32,1.8823529411764706,212.65029411764704,1.0,0.0,0.875222816399287,1.0,3.958848813715496
27,62.875,3.0,188.625,8.4,44.44795351187468,0.32,1.375,232.405625,1.0,0.0,0.0,1.0,1.9378208417698894
28,52.25,1.0,52.25,8.4,44.44795351187468,0.32,1.125,54.492737500000004,1.0,0.0,0.0,0.0,3.9333156991464486
29,44.69090909090909,1.690909090909091,78.6,8.4,44.44795351187469,0.32,1.490909090909091,185.64590909090907,0.0,0.0,0.0,1.0,4.271291321557302
30,58.285714285714285,2.857142857142857,166.28571428571428,8.4,44.44795351187468,0.32,1.0,54.22428571428571,0.0,0.0,0.9307359307359307,1.0,3.8044685339234117
31,51.91891891891892,1.7027027027027026,87.78378378378379,8.4,44.44795351187468,0.32,1.1891891891891893,36.683437837837836,0.0,0.0,0.0,0.0,1.4919798971294902
32,13.9,1.3,20.5,8.4,44.44795351187468,0.32,1.7,417.0538,1.0,0.0,0.0,0.0,4.200099190303661
33,52.42857142857143,2.857142857142857,150.0,8.4,44.44795351187468,0.32,1.0,48.37571428571429,0.0,0.0,0.974025974025974,0.0,2.119048405762784
