cluster,bridge_age,condition_score,maintenance_priority,future_burden_ratio,aging_rate,fiscal_index,structure_category,bridge_area,emergency_route,overpass,repair_year_normalized,under_river,distance_to_coast_km
0,50.06159769008662,1.8298845043310876,94.1939364773821,46.35754027657815,35.899687655533704,0.5672333690696716,1.5262271414821944,191.01366713185755,0.46607314725697785,0.0,0.13195963484702655,0.5822906641000962,9.378546906623164
1,77.5,3.0,232.5,118.1,29.702234760859454,0.4,1.0,80.335,0.5,0.0,0.7196969696969697,0.75,2.347693845471374
2,66.83333333333333,2.5,164.0,64.93333333333334,32.26878690695179,0.7166666666666667,1.3333333333333333,625.3863333333334,0.5,1.0,0.0,0.0,4.839371798963346
3,44.2962962962963,2.185185185185185,101.12962962962963,40.91712913833536,34.52358979469271,0.601704660089874,2.1666666666666665,817.56,0.6666666666666666,1.0,0.3462401795735129,0.09259259259259259,3.3087300092526544
4,42.43589743589744,1.641025641025641,71.51282051282051,118.1,29.702234760859454,0.4,1.435897435897436,125.9728205128205,0.8974358974358975,0.0,0.021756021756021756,0.3333333333333333,1.0334244309773435
5,45.666666666666664,2.5,114.33333333333333,8.4,44.44795351187468,0.32,2.1666666666666665,757.9733333333334,0.16666666666666666,1.0,0.9646464646464646,0.3333333333333333,3.4015295242842605
6,38.5,1.8333333333333333,77.83333333333333,20.400000000000002,44.40985706470011,0.3433333333333333,2.3333333333333335,878.4,0.6666666666666666,1.0,0.0,0.3333333333333333,7.620500947885097
7,49.333333333333336,2.3333333333333335,114.33333333333333,62.20000000000001,30.0581130234679,0.63,2.6666666666666665,170.07,1.0,1.0,0.0,0.0,21.873432290068198
8,30.25,2.0,62.083333333333336,46.986110128522576,33.8760198892513,0.6185945053649334,2.1666666666666665,3673.184583333333,1.0,1.0,0.0,0.16666666666666666,5.259433558612208
9,27.166666666666668,2.1666666666666665,62.5,47.093055064261286,32.386622756882225,0.6059639193491334,2.1666666666666665,9846.333333333334,0.5,0.16666666666666666,0.16666666666666666,0.0,0.830296234880101
